FpMember,Player,Role,MatchNum
salman.sk00770169,R. Sharma,,2
salman.sk00770169,F. Plessis,C,2
salman.sk00770169,C. Lynn,,2
salman.sk00770169,A. Rayudu,,2
salman.sk00770169,S. Yadav,,2
salman.sk00770169,M. Ali,VC,2
salman.sk00770169,I. Kishan,,2
salman.sk00770169,H. Pandya,,2
salman.sk00770169,T. Boult,,2
salman.sk00770169,Y. Chahal,,2
salman.sk00770169,M. Jansen,,2
mjshivu9154,S. Yadav,,2
mjshivu9154,G. Maxwell,,2
mjshivu9154,A. Villiers,,2
mjshivu9154,R. Pant,C,2
mjshivu9154,I. Kishan,,2
mjshivu9154,H. Pandya,,2
mjshivu9154,S. Curran,VC,2
mjshivu9154,K. Pollard,,2
mjshivu9154,K. Pandya,,2
mjshivu9154,K. Rabada,,2
mjshivu9154,J. Bumrah,,2
jai-11,F. Plessis,C,2
jai-11,C. Lynn,,2
jai-11,P. Shaw,VC,2
jai-11,S. Yadav,,2
jai-11,I. Kishan,,2
jai-11,D. Bravo,,2
jai-11,S. Curran,,2
jai-11,K. Pandya,,2
jai-11,J. Bumrah,,2
jai-11,Y. Chahal,,2
jai-11,S. Thakur,,2
matti_11,V. Kohli,,2
matti_11,R. Sharma,,2
matti_11,S. Dhawan,C,2
matti_11,S. Yadav,,2
matti_11,G. Maxwell,,2
matti_11,A. Villiers,,2
matti_11,H. Pandya,,2
matti_11,Y. Chahal,,2
matti_11,D. Chahar,VC,2
matti_11,M. Siraj,,2
matti_11,H. Patel,,2
shiva.0424199,S. Dhawan,C,2
shiva.0424199,C. Lynn,,2
shiva.0424199,S. Yadav,,2
shiva.0424199,R. Pant,,2
shiva.0424199,K. Rahul,,2
shiva.0424199,N. Pooran,,2
shiva.0424199,H. Pandya,,2
shiva.0424199,S. Curran,,2
shiva.0424199,C. Woakes,VC,2
shiva.0424199,K. Pandya,,2
shiva.0424199,J. Bumrah,,2
sanjayy,C. Lynn,,2
sanjayy,S. Gill,,2
sanjayy,S. Yadav,,2
sanjayy,G. Maxwell,C,2
sanjayy,R. Pant,,2
sanjayy,A. Villiers,VC,2
sanjayy,S. Curran,,2
sanjayy,W. Sundar,,2
sanjayy,K. Rabada,,2
sanjayy,J. Bumrah,,2
sanjayy,S. Thakur,,2
arjunpatel,E. Morgan,,2
arjunpatel,C. Lynn,,2
arjunpatel,F. Plessis,C,2
arjunpatel,S. Yadav,,2
arjunpatel,G. Maxwell,,2
arjunpatel,A. Villiers,,2
arjunpatel,R. Pant,,2
arjunpatel,M. Stoinis,VC,2
arjunpatel,K. Pollard,,2
arjunpatel,T. Boult,,2
arjunpatel,D. Chahar,,2
renuka,F. Plessis,C,2
renuka,C. Lynn,,2
renuka,S. Dhawan,VC,2
renuka,S. Yadav,,2
renuka,G. Maxwell,,2
renuka,A. Villiers,,2
renuka,M. Stoinis,,2
renuka,S. Curran,,2
renuka,J. Bumrah,,2
renuka,B. Kumar,,2
renuka,Y. Chahal,,2
akshay_pm,V. Kohli,,2
akshay_pm,A. Rayudu,C,2
akshay_pm,S. Yadav,,2
akshay_pm,A. Villiers,,2
akshay_pm,J. Bairstow,,2
akshay_pm,M. Stoinis,,2
akshay_pm,C. Woakes,VC,2
akshay_pm,K. Pandya,,2
akshay_pm,R. Khan,,2
akshay_pm,J. Bumrah,,2
akshay_pm,D. Chahar,,2
lightening,V. Kohli,,2
lightening,S. Raina,,2
lightening,R. Gaikwad,C,2
lightening,R. Pant,VC,2
lightening,A. Villiers,,2
lightening,S. Curran,,2
lightening,J. Bumrah,,2
lightening,Y. Chahal,,2
lightening,S. Thakur,,2
lightening,A. Khan,,2
lightening,K. Nagarkoti,,2
ajay.rajan10,F. Plessis,,2
ajay.rajan10,C. Lynn,,2
ajay.rajan10,S. Yadav,,2
ajay.rajan10,G. Maxwell,,2
ajay.rajan10,A. Villiers,,2
ajay.rajan10,R. Pant,C,2
ajay.rajan10,N. Pooran,,2
ajay.rajan10,M. Stoinis,,2
ajay.rajan10,S. Curran,VC,2
ajay.rajan10,B. Kumar,,2
ajay.rajan10,V. Chakrav..,,2
sharathmahadev.smk184,V. Kohli,,2
sharathmahadev.smk184,D. Warner,,2
sharathmahadev.smk184,S. Gill,,2
sharathmahadev.smk184,C. Lynn,,2
sharathmahadev.smk184,P. Shaw,,2
sharathmahadev.smk184,S. Billings,VC,2
sharathmahadev.smk184,S. Curran,,2
sharathmahadev.smk184,M. Stoinis,,2
sharathmahadev.smk184,Y. Chahal,,2
sharathmahadev.smk184,T. Boult,,2
sharathmahadev.smk184,S. Thakur,C,2
jay.amlani,F. Plessis,,2
jay.amlani,A. Rayudu,C,2
jay.amlani,S. Dhawan,,2
jay.amlani,S. Yadav,,2
jay.amlani,G. Maxwell,,2
jay.amlani,Q. Kock,,2
jay.amlani,I. Kishan,,2
jay.amlani,M. Stoinis,VC,2
jay.amlani,T. Boult,,2
jay.amlani,M. Siraj,,2
jay.amlani,S. Thakur,,2
srinathbs,V. Kohli,,2
srinathbs,A. Rayudu,,2
srinathbs,S. Yadav,,2
srinathbs,R. Pant,C,2
srinathbs,J. Bairstow,,2
srinathbs,I. Kishan,,2
srinathbs,R. Jadeja,,2
srinathbs,S. Curran,VC,2
srinathbs,R. Tewatia,,2
srinathbs,T. Boult,,2
srinathbs,V. Chakrav..,,2
